timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
1755872365.058042694,4ab2f4d499aa,multi-proxy1,108.12%,173.9MiB / 31.15GiB,0.55%,23.1MB / 449kB,406kB / 0B,49
1755872365.058042694,f8cd685deea1,multi-proxy2,115.68%,223.4MiB / 31.15GiB,0.70%,42.5MB / 442kB,73.7kB / 0B,49
1755872368.603480847,87ffcb507c59,multi-proxy0,54.31%,173.4MiB / 31.15GiB,0.54%,32.2MB / 689kB,1.84MB / 0B,46
1755872368.603480847,4ab2f4d499aa,multi-proxy1,103.26%,171.5MiB / 31.15GiB,0.54%,24MB / 461kB,406kB / 0B,49
1755872368.603480847,f8cd685deea1,multi-proxy2,113.25%,227.4MiB / 31.15GiB,0.71%,44MB / 449kB,73.7kB / 0B,49
1755872372.135073226,87ffcb507c59,multi-proxy0,63.73%,176.2MiB / 31.15GiB,0.55%,33.3MB / 708kB,1.84MB / 0B,46
1755872372.135073226,4ab2f4d499aa,multi-proxy1,110.21%,175.8MiB / 31.15GiB,0.55%,25MB / 473kB,406kB / 0B,49
1755872372.135073226,f8cd685deea1,multi-proxy2,125.20%,234MiB / 31.15GiB,0.73%,45.5MB / 456kB,73.7kB / 0B,49
1755872375.667942977,87ffcb507c59,multi-proxy0,63.48%,180.2MiB / 31.15GiB,0.56%,34.4MB / 725kB,1.84MB / 0B,46
1755872375.667942977,4ab2f4d499aa,multi-proxy1,103.78%,179.7MiB / 31.15GiB,0.56%,26.2MB / 489kB,406kB / 0B,49
1755872375.667942977,f8cd685deea1,multi-proxy2,132.55%,239.1MiB / 31.15GiB,0.75%,46.8MB / 461kB,73.7kB / 0B,49
1755872379.212398486,87ffcb507c59,multi-proxy0,68.18%,186MiB / 31.15GiB,0.58%,35.6MB / 747kB,1.84MB / 0B,46
1755872379.212398486,4ab2f4d499aa,multi-proxy1,119.70%,187.6MiB / 31.15GiB,0.59%,27.2MB / 503kB,406kB / 0B,49
1755872379.212398486,f8cd685deea1,multi-proxy2,112.17%,242.4MiB / 31.15GiB,0.76%,48.4MB / 468kB,73.7kB / 0B,49
1755872382.745205661,87ffcb507c59,multi-proxy0,59.64%,190.8MiB / 31.15GiB,0.60%,36.8MB / 765kB,1.84MB / 0B,46
1755872382.745205661,4ab2f4d499aa,multi-proxy1,108.31%,193.1MiB / 31.15GiB,0.61%,28.2MB / 517kB,406kB / 0B,49
1755872382.745205661,f8cd685deea1,multi-proxy2,121.14%,246.4MiB / 31.15GiB,0.77%,50MB / 475kB,73.7kB / 0B,49
1755872386.281253795,87ffcb507c59,multi-proxy0,66.73%,196.7MiB / 31.15GiB,0.62%,38MB / 788kB,1.84MB / 0B,46
1755872386.281253795,4ab2f4d499aa,multi-proxy1,123.49%,195.5MiB / 31.15GiB,0.61%,29.2MB / 534kB,406kB / 0B,49
1755872386.281253795,f8cd685deea1,multi-proxy2,123.13%,253.4MiB / 31.15GiB,0.79%,51.4MB / 482kB,73.7kB / 0B,49
1755872389.815451353,87ffcb507c59,multi-proxy0,68.10%,195.3MiB / 31.15GiB,0.61%,39.2MB / 803kB,1.84MB / 0B,46
1755872389.815451353,4ab2f4d499aa,multi-proxy1,138.19%,207MiB / 31.15GiB,0.65%,30.2MB / 548kB,406kB / 0B,49
1755872389.815451353,f8cd685deea1,multi-proxy2,139.43%,267.6MiB / 31.15GiB,0.84%,53.1MB / 489kB,73.7kB / 0B,49
1755872393.349052304,87ffcb507c59,multi-proxy0,65.72%,200.4MiB / 31.15GiB,0.63%,39.9MB / 817kB,1.84MB / 0B,46
1755872393.349052304,4ab2f4d499aa,multi-proxy1,118.80%,208.5MiB / 31.15GiB,0.65%,30.9MB / 556kB,406kB / 0B,49
1755872393.349052304,f8cd685deea1,multi-proxy2,139.52%,265.7MiB / 31.15GiB,0.83%,54.7MB / 496kB,73.7kB / 0B,49
1755872395.883894967,87ffcb507c59,multi-proxy0,60.88%,203.6MiB / 31.15GiB,0.64%,40.7MB / 827kB,1.84MB / 0B,46
1755872395.883894967,4ab2f4d499aa,multi-proxy1,119.07%,204.9MiB / 31.15GiB,0.64%,31.7MB / 569kB,406kB / 0B,49
1755872395.883894967,f8cd685deea1,multi-proxy2,128.91%,268.6MiB / 31.15GiB,0.84%,55.9MB / 501kB,73.7kB / 0B,49
1755872399.435157095,87ffcb507c59,multi-proxy0,68.11%,207.5MiB / 31.15GiB,0.65%,42MB / 848kB,1.84MB / 0B,46
1755872399.435157095,4ab2f4d499aa,multi-proxy1,131.10%,209.1MiB / 31.15GiB,0.66%,32.6MB / 582kB,406kB / 0B,49
1755872399.435157095,f8cd685deea1,multi-proxy2,142.94%,287.8MiB / 31.15GiB,0.90%,57.9MB / 508kB,73.7kB / 0B,49
1755872402.971168797,87ffcb507c59,multi-proxy0,65.74%,211.7MiB / 31.15GiB,0.66%,43.3MB / 863kB,1.84MB / 0B,46
1755872402.971168797,4ab2f4d499aa,multi-proxy1,115.99%,212MiB / 31.15GiB,0.66%,33.3MB / 589kB,406kB / 0B,49
1755872402.971168797,f8cd685deea1,multi-proxy2,143.78%,287.5MiB / 31.15GiB,0.90%,60.3MB / 519kB,73.7kB / 0B,49
1755872406.518361741,87ffcb507c59,multi-proxy0,67.69%,220.2MiB / 31.15GiB,0.69%,44.6MB / 884kB,1.84MB / 0B,46
1755872406.518361741,4ab2f4d499aa,multi-proxy1,122.66%,214.9MiB / 31.15GiB,0.67%,34.3MB / 603kB,406kB / 0B,49
1755872406.518361741,f8cd685deea1,multi-proxy2,157.06%,294.6MiB / 31.15GiB,0.92%,61.7MB / 524kB,73.7kB / 0B,49
1755872409.050954271,87ffcb507c59,multi-proxy0,67.86%,224MiB / 31.15GiB,0.70%,46MB / 900kB,1.84MB / 0B,46
1755872409.050954271,4ab2f4d499aa,multi-proxy1,127.69%,221MiB / 31.15GiB,0.69%,35.2MB / 615kB,406kB / 0B,49
